"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2147","submitWebFormTest()","","Sun Feb 22 10:58:47 UTC 2026","broken","Sun Feb 22 10:58:49 UTC 2026","","tests.UiTests","tests.UiTests","submitWebFormTest"
"","296","createUserControllerTest()","","Sun Feb 22 10:58:24 UTC 2026","passed","Sun Feb 22 10:58:24 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserControllerTest"
"","335","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)","","Sun Feb 22 10:58:22 UTC 2026","passed","Sun Feb 22 10:58:23 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","2360","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)","","Sun Feb 22 10:58:20 UTC 2026","passed","Sun Feb 22 10:58:22 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","12503","loginPomTest()","","Sun Feb 22 10:58:25 UTC 2026","broken","Sun Feb 22 10:58:37 UTC 2026","","tests.UiPomTests","tests.UiPomTests","loginPomTest"
"","1078","checkUserResponseBody()","","Sun Feb 22 10:58:23 UTC 2026","passed","Sun Feb 22 10:58:24 UTC 2026","","tests.ApiTests","tests.ApiTests","checkUserResponseBody"
"","8558","loadingImagesExplicitWaitTest()","","Sun Feb 22 10:58:49 UTC 2026","passed","Sun Feb 22 10:58:58 UTC 2026","","tests.UiTests","tests.UiTests","loadingImagesExplicitWaitTest"
"","306","createUser()","","Sun Feb 22 10:58:24 UTC 2026","passed","Sun Feb 22 10:58:25 UTC 2026","","tests.ApiTests","tests.ApiTests","createUser"
"","9767","loadingImagesImplicitWaitTest()","","Sun Feb 22 10:58:37 UTC 2026","passed","Sun Feb 22 10:58:47 UTC 2026","","tests.UiTests","tests.UiTests","loadingImagesImplicitWaitTest"
"","299","createInvalidUserControllerTest()","","Sun Feb 22 10:58:24 UTC 2026","passed","Sun Feb 22 10:58:24 UTC 2026","","tests.ApiTests","tests.ApiTests","createInvalidUserControllerTest"
