"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 08:44:59 GMT 2025","Mon Feb 10 08:44:59 GMT 2025","341","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"broken","Mon Feb 10 08:44:58 GMT 2025","Mon Feb 10 08:44:58 GMT 2025","291","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Mon Feb 10 08:44:50 GMT 2025","Mon Feb 10 08:44:50 GMT 2025","393","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
"passed","Mon Feb 10 08:44:52 GMT 2025","Mon Feb 10 08:44:53 GMT 2025","381","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Mon Feb 10 08:44:48 GMT 2025","Mon Feb 10 08:44:50 GMT 2025","2479","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Mon Feb 10 08:44:52 GMT 2025","Mon Feb 10 08:44:52 GMT 2025","391","","tests.ApiTests","","tests.ApiTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Mon Feb 10 08:44:50 GMT 2025","Mon Feb 10 08:44:52 GMT 2025","1122","","tests.ApiTests","","tests.ApiTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Mon Feb 10 08:44:52 GMT 2025","Mon Feb 10 08:44:52 GMT 2025","389","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"broken","Mon Feb 10 08:44:58 GMT 2025","Mon Feb 10 08:44:59 GMT 2025","228","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"broken","Mon Feb 10 08:44:53 GMT 2025","Mon Feb 10 08:44:58 GMT 2025","5383","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
